GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test,com.test.exception,BusinessException,19,4,0,0,8,2,4,1,4,1
test,com.test.config,SwaggerConfig,0,14,0,0,0,6,0,2,0,2
test,com.text.request.model,RestStatus,36,42,0,0,8,7,3,10,3,10
test,com.text.request.model,RestCustom.RestCustomBuilder,11,14,0,0,0,1,1,3,1,3
test,com.text.request.model,RestResponse,21,49,0,0,7,10,2,10,2,10
test,com.text.request.model,RestCustom,0,20,0,0,0,5,0,5,0,5
test,com.text.request.model,RestStatus.RestStatusBuilder,61,0,0,0,1,0,7,0,7,0
test,com.test,Application,5,3,0,0,2,1,1,1,1,1
test,com.test.model,Book,12,24,0,0,1,3,1,7,1,7
test,com.test.model,Library,24,22,0,0,1,4,3,5,3,5
test,com.test.controller,BookController,0,157,0,0,0,26,0,7,0,7
test,com.test.controller,RestResponseEntityExceptionHandler,468,144,3,3,85,23,18,6,16,5
test,com.test.controller,LibraryController,98,3,0,0,16,1,4,1,4,1
test,com.test.service.impl,BookServiceImpl,31,60,2,2,4,14,2,7,1,6
test,com.test.service.impl,LibraryServiceImpl,35,15,1,1,8,4,5,2,4,2
